model,queries,corpus,recall@1,recall@5,recall@10,mrr@10,delta_mrr@10_vs_base,relative_mrr@10_vs_base,encode_seconds,search_seconds,seconds_per_query_search,model_path
base_vietnamese_bi_encoder,611,212,0.6530278232405892,0.9050736497545008,0.9492635024549918,0.7602960278492193,0.0,0.0,21.345407332999457,0.14664841600097134,0.00024001377414234262,bkai-foundation-models/vietnamese-bi-encoder
bge_m3,611,212,0.8052373158756138,0.967266775777414,0.9901800327332242,0.872950276673681,0.11265424882446162,0.1481715604159424,83.6819579160001,0.016355374998966,2.6768207854281504e-05,BAAI/bge-m3
e5_large,611,212,0.7970540098199672,0.9574468085106383,0.9869067103109657,0.8655223027563453,0.105226274907126,0.13840171598002127,74.27479237499938,0.1681375419975666,0.00027518419312204026,intfloat/multilingual-e5-large
v2_hard_negative,611,212,0.7675941080196399,0.9525368248772504,0.9738134206219312,0.8442775309796586,0.08398150313043928,0.11045895290024368,23.80901074999929,0.1321269170002779,0.00021624700000045483,/Users/dangvanvy/UniPolis/bi-encoder-finetuned/models/bi_encoder_hnm_v2/vietnamese-bi-encoder-v2-hnm
